"","Name","X","Y","FileName2","TurtleAvailable","Species","Direction","CatchSuccess"
"200","Fish",12.7923573385064,3.2512496305622,"2016_0517_113802_041A_Moment5","NoTurtle","RH","Downstream",NA
"201","BottomLeft",0,0,"2016_0517_113802_041A_Moment6","NoTurtle","RH","Upstream",NA
"202","BottomRight",74.7271300124548,0,"2016_0517_113802_041A_Moment6","NoTurtle","RH","Upstream",NA
"203","TopLeft",-9.84253306343103,33.9628490329957,"2016_0517_113802_041A_Moment6","NoTurtle","RH","Upstream",NA
"204","TopRight",94.0559667727781,33.9628490329957,"2016_0517_113802_041A_Moment6","NoTurtle","RH","Upstream",NA
"205","Fish",51.6872380936243,0.512927790622892,"2016_0517_113802_041A_Moment6","NoTurtle","RH","Upstream",NA
"206","BottomLeft",0,0,"2016_0517_114802_042A_Moment1","NoTurtle","RH","Downstream",NA
"207","BottomRight",79.3183950652879,0,"2016_0517_114802_042A_Moment1","NoTurtle","RH","Downstream",NA
"208","TopLeft",-10.7135340589706,28.0532508192611,"2016_0517_114802_042A_Moment1","NoTurtle","RH","Downstream",NA
"209","TopRight",95.9844524830539,28.0532508192611,"2016_0517_114802_042A_Moment1","NoTurtle","RH","Downstream",NA
"210","Fish",26.4820456401026,1.40351022677104,"2016_0517_114802_042A_Moment1","NoTurtle","RH","Downstream",NA
"211","BottomLeft",0,0,"2016_0517_115802_043A_Moment1","NoTurtle","LMB","Downstream",NA
"212","BottomRight",72.7268188230979,0,"2016_0517_115802_043A_Moment1","NoTurtle","LMB","Downstream",NA
"213","TopLeft",-9.42138626314535,36.9290873437084,"2016_0517_115802_043A_Moment1","NoTurtle","LMB","Downstream",NA
"214","TopRight",92.9313860219504,36.9290873437084,"2016_0517_115802_043A_Moment1","NoTurtle","LMB","Downstream",NA
"215","Fish",13.4711344231625,27.1743291935286,"2016_0517_115802_043A_Moment1","NoTurtle","LMB","Downstream",NA
"216","BottomLeft",0,0,"2016_0517_115802_043A_Moment2","NoTurtle","LMB","Downstream",NA
"217","BottomRight",70.4575315891636,0,"2016_0517_115802_043A_Moment2","NoTurtle","LMB","Downstream",NA
"218","TopLeft",-11.7278031693013,44.7040426591258,"2016_0517_115802_043A_Moment2","NoTurtle","LMB","Downstream",NA
"219","TopRight",89.4513754501911,44.7040426591258,"2016_0517_115802_043A_Moment2","NoTurtle","LMB","Downstream",NA
"220","Fish",26.3929694715352,48.5142090918764,"2016_0517_115802_043A_Moment2","NoTurtle","LMB","Downstream",NA
"221","BottomLeft",0,0,"2016_0517_115802_043A_Moment3","NoTurtle","LMB","Upstream",NA
"222","BottomRight",59.0762748542567,0,"2016_0517_115802_043A_Moment3","NoTurtle","LMB","Upstream",NA
"223","TopLeft",-19.9130222850095,48.2185176989525,"2016_0517_115802_043A_Moment3","NoTurtle","LMB","Upstream",NA
"224","TopRight",87.6069320939605,48.2185176989525,"2016_0517_115802_043A_Moment3","NoTurtle","LMB","Upstream",NA
"225","Fish",40.9356047863667,33.3159220512005,"2016_0517_115802_043A_Moment3","NoTurtle","LMB","Upstream",NA
"226","BottomLeft",0,0,"2016_0517_115802_043A_Moment4","NoTurtle","LMB","Upstream",NA
"227","BottomRight",68.0469511771738,0,"2016_0517_115802_043A_Moment4","NoTurtle","LMB","Upstream",NA
"228","TopLeft",-13.0279578942121,35.7067803579968,"2016_0517_115802_043A_Moment4","NoTurtle","LMB","Upstream",NA
